-182.931, 78.190, 2.104,  1.765
-182.901, 78.126, 2.110,  1.798
-182.871, 78.062, 2.115,  1.831
-182.841, 77.998, 2.119,  1.864
-182.810, 77.934, 2.123,  1.897
-182.779, 77.870, 2.127,  1.930
-182.748, 77.806, 2.130,  1.963
-182.717, 77.742, 2.133,  1.996
-182.686, 77.678, 2.135,  2.029
-182.654, 77.614, 2.137,  2.062
-182.623, 77.550, 2.139,  2.095
-182.591, 77.486, 2.141,  2.128
-182.559, 77.422, 2.142,  2.161
-182.527, 77.358, 2.143,  2.194
-182.494, 77.294, 2.144,  2.227
-182.462, 77.230, 2.144,  2.260
-182.429, 77.167, 2.145,  2.293
-182.396, 77.103, 2.145,  2.326
-182.363, 77.040, 2.146,  2.359
-182.329, 76.976, 2.146,  2.392
-182.296, 76.913, 2.147,  2.425
-182.263, 76.849, 2.149,  2.458
-182.230, 76.785, 2.150,  2.491
-182.198, 76.721, 2.151,  2.524
-182.167, 76.657, 2.152,  2.557
-182.135, 76.592, 2.152,  2.590
-182.105, 76.527, 2.152,  2.623
-182.075, 76.462, 2.152,  2.656
-182.046, 76.397, 2.151,  2.689
-182.017, 76.331, 2.151,  2.722
-181.989, 76.265, 2.150,  2.755
-181.962, 76.199, 2.149,  2.788
-181.935, 76.132, 2.149,  2.821
-181.909, 76.065, 2.148,  2.854
-181.884, 75.998, 2.147,  2.887
-181.859, 75.931, 2.146,  2.920
-181.835, 75.863, 2.146,  2.953
-181.813, 75.795, 2.145,  2.986
-181.790, 75.727, 2.145,  3.019
-181.769, 75.659, 2.144,  3.052
-181.749, 75.590, 2.144,  3.085
-181.730, 75.520, 2.143,  3.118
-181.711, 75.451, 2.144,  3.151
-181.693, 75.381, 2.145,  3.184
-181.676, 75.311, 2.145,  3.217
-181.660, 75.241, 2.146,  3.250
-181.645, 75.170, 2.148,  3.283
-181.631, 75.100, 2.149,  3.316
-181.617, 75.028, 2.152,  3.349
-181.604, 74.957, 2.154,  3.382
-181.592, 74.885, 2.157,  3.415
-181.581, 74.814, 2.159,  3.448
-181.571, 74.741, 2.163,  3.481
-181.561, 74.669, 2.167,  3.514
-181.552, 74.596, 2.171,  3.547
-181.544, 74.523, 2.174,  3.580
-181.536, 74.450, 2.179,  3.613
-181.529, 74.377, 2.187,  3.646
-181.523, 74.303, 2.192,  3.679
-181.517, 74.230, 2.198,  3.712
-181.511, 74.156, 2.203,  3.745
-181.506, 74.081, 2.210,  3.778
-181.502, 74.007, 2.215,  3.811
-181.498, 73.932, 2.222,  3.844
-181.494, 73.857, 2.229,  3.877
-181.490, 73.782, 2.235,  3.910
-181.487, 73.707, 2.242,  3.943
-181.484, 73.632, 2.249,  3.976
-181.482, 73.556, 2.255,  4.009
-181.479, 73.480, 2.261,  4.042
-181.477, 73.404, 2.268,  4.075
-181.475, 73.328, 2.275,  4.108
-181.474, 73.251, 2.282,  4.141
-181.472, 73.175, 2.288,  4.174
-181.471, 73.098, 2.295,  4.207
-181.470, 73.021, 2.301,  4.240
-181.469, 72.944, 2.307,  4.273
-181.468, 72.866, 2.314,  4.306
-181.467, 72.789, 2.320,  4.339
-181.466, 72.711, 2.327,  4.372
-181.465, 72.633, 2.333,  4.405
-181.465, 72.555, 2.339,  4.438
-181.465, 72.476, 2.345,  4.471
-181.464, 72.398, 2.352,  4.504
-181.464, 72.319, 2.358,  4.537
-181.463, 72.240, 2.365,  4.570
-181.463, 72.161, 2.371,  4.603
-181.463, 72.082, 2.377,  4.636
-181.463, 72.002, 2.384,  4.669
-181.463, 71.922, 2.390,  4.702
-181.463, 71.842, 2.397,  4.735
-181.462, 71.762, 2.403,  4.768
-181.462, 71.682, 2.410,  4.801
-181.462, 71.601, 2.417,  4.834
-181.462, 71.521, 2.423,  4.867
-181.462, 71.440, 2.430,  4.900
-181.462, 71.358, 2.437,  4.933
-181.462, 71.277, 2.443,  4.966
-181.462, 71.195, 2.450,  4.999
-181.462, 71.113, 2.457,  5.032
-181.462, 71.031, 2.464,  5.065
-181.463, 70.949, 2.471,  5.098
-181.463, 70.866, 2.478,  5.131
-181.463, 70.784, 2.485,  5.164
-181.463, 70.700, 2.492,  5.197
-181.463, 70.617, 2.500,  5.230
-181.463, 70.534, 2.507,  5.263
-181.463, 70.450, 2.514,  5.296
-181.463, 70.366, 2.522,  5.329
-181.463, 70.282, 2.529,  5.362
-181.464, 70.197, 2.537,  5.395
-181.464, 70.112, 2.544,  5.428
-181.464, 70.027, 2.552,  5.461
-181.464, 69.942, 2.560,  5.494
-181.464, 69.856, 2.567,  5.527
-181.464, 69.771, 2.575,  5.560
-181.464, 69.685, 2.583,  5.593
-181.464, 69.598, 2.591,  5.626
-181.465, 69.512, 2.599,  5.659
-181.465, 69.425, 2.607,  5.692
-181.465, 69.338, 2.615,  5.725
-181.465, 69.250, 2.623,  5.758
-181.465, 69.163, 2.631,  5.791
-181.465, 69.075, 2.640,  5.824
-181.466, 68.987, 2.648,  5.857
-181.466, 68.898, 2.656,  5.890
-181.466, 68.809, 2.664,  5.923
-181.466, 68.720, 2.673,  5.956
-181.466, 68.631, 2.681,  5.989
-181.466, 68.541, 2.690,  6.022
-181.466, 68.452, 2.698,  6.055
-181.467, 68.361, 2.707,  6.088
-181.467, 68.271, 2.716,  6.121
-181.467, 68.180, 2.725,  6.154
-181.467, 68.089, 2.733,  6.187
-181.467, 67.998, 2.742,  6.220
-181.468, 67.906, 2.751,  6.253
-181.468, 67.814, 2.760,  6.286
-181.468, 67.722, 2.769,  6.319
-181.468, 67.629, 2.778,  6.352
-181.468, 67.537, 2.787,  6.385
-181.468, 67.444, 2.796,  6.418
-181.469, 67.350, 2.806,  6.451
-181.469, 67.256, 2.815,  6.484
-181.469, 67.162, 2.824,  6.517
-181.469, 67.068, 2.833,  6.550
-181.469, 66.973, 2.843,  6.583
-181.469, 66.878, 2.852,  6.616
-181.470, 66.783, 2.862,  6.649
-181.470, 66.687, 2.871,  6.682
-181.470, 66.591, 2.881,  6.715
-181.470, 66.495, 2.890,  6.748
-181.470, 66.398, 2.900,  6.781
-181.471, 66.302, 2.910,  6.814
-181.471, 66.204, 2.920,  6.847
-181.471, 66.107, 2.929,  6.880
-181.471, 66.009, 2.939,  6.913
-181.471, 65.911, 2.949,  6.946
-181.471, 65.812, 2.959,  6.979
-181.472, 65.713, 2.969,  7.012
-181.472, 65.614, 2.979,  7.045
-181.472, 65.514, 2.989,  7.078
-181.472, 65.414, 2.999,  7.111
-181.472, 65.314, 3.009,  7.144
-181.473, 65.214, 3.019,  7.177
-181.473, 65.113, 3.029,  7.210
-181.473, 65.012, 3.040,  7.243
-181.473, 64.910, 3.050,  7.276
-181.473, 64.808, 3.060,  7.309
-181.473, 64.706, 3.071,  7.342
-181.474, 64.603, 3.081,  7.375
-181.474, 64.500, 3.092,  7.408
-181.474, 64.397, 3.102,  7.441
-181.474, 64.293, 3.113,  7.474
-181.474, 64.189, 3.123,  7.507
-181.474, 64.085, 3.134,  7.540
-181.475, 63.980, 3.145,  7.573
